spp;local;site;ind;latitude;longitude;sampler;collaborator;fixation;month;year;TL_mm;SL_mm;weight_g;intestine_mm;QI;mean_temp;mouth_volume;fullness;ni_algae;bivalve;ceramiales;cladophorales;copepoda;corallinales;dictyotales;ectocarpales;eggs;fish_scale;gastropoda;gelidiales;hexacorallia;insect;sediment;polychaeta;ulvales;plastic;organic_detritus;total
ophioblennius_trinitatis;salvador;porto_da_barra;168;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;62,1;52;1,79;91,9;1,47987;27;na;3;0;0,5;0;0;0,01;0;0;0;8;0;0;0;0;0;32;0;0;0,08;6;46,59
ophioblennius_trinitatis;salvador;porto_da_barra;169;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;49,5;41,7;0,93;54,2;1,09495;27;na;3;0;0;0;0;0;0;0;7;0;0;0;0;0;0;20;0;0;0;2;29
ophioblennius_trinitatis;salvador;porto_da_barra;170;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;55;44,5;1,28;59,8;1,08727;27;na;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;8;21
ophioblennius_trinitatis;salvador;porto_da_barra;171;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;60,6;50,4;1,44;117;1,93069;27;na;4;0;0,01;0;0;0;0;0;0;2;0;0;0;0;0;22;0;0;0,03;30;54,04
ophioblennius_trinitatis;salvador;porto_da_barra;172;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;59,9;48,3;1,18;143,2;2,39065;27;7;2;0;0;0;0;0,05;0;0;0;0;0;0;0,3;0;0;11;0,1;0;0;6;17,45
ophioblennius_trinitatis;salvador;porto_da_barra;173;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;60,5;47,8;1,49;74,2;1,22645;27;na;4;0;0;0;0;0;0;1;0;3;0;0;0;0;0;30;0;0;0,01;16;50,01
ophioblennius_trinitatis;salvador;porto_da_barra;174;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;67,4;53,2;1,66;93,5;1,38724;27;na;2;0;0;0,01;0;0,1;0;0;0;0;0;0;0;0;0;1;0;0;0,06;25;26,17
ophioblennius_trinitatis;salvador;porto_da_barra;175;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;61,3;50,4;1,65;159,6;2,60359;27;6;3;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;24;0;0;0,01;43;67,11
ophioblennius_trinitatis;salvador;porto_da_barra;176;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;61,4;49,5;1,52;108,6;1,76873;27;na;4;0;0,05;0;0;0,08;0;0;0;0;0;0;0;0;0;23;0;0;0,01;43;66,14
ophioblennius_trinitatis;salvador;porto_da_barra;177;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;54,8;53,7;1,06;71,7;1,30839;27;na;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22
ophioblennius_trinitatis;salvador;porto_da_barra;178;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;59,6;48,6;1,33;111,8;1,87584;27;na;1;0;0;0;0;0,05;0;0;0;0,1;0;0;0;0;0,5;3;0;0;0,02;8;11,67
ophioblennius_sp1;principe;praia_banana;179;1,691573;7,442154;renato_morais;alana_fraga;formaldehyde;january;2016;100,5;80,6;7,8;199,7;1,98706;29;na;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;86;139
ophioblennius_sp1;principe;praia_banana;180;1,691573;7,442154;renato_morais;alana_fraga;formaldehyde;january;2016;95,8;77,1;7,4;123,9;1,29332;29;na;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;63;0;0;0;192;257
ophioblennius_sp1;principe;praia_banana;181;1,691573;7,442154;renato_morais;alana_fraga;formaldehyde;january;2016;43,5;43,5;1,85;111,2;2,55632;29;na;3;0;0,05;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;68,06
ophioblennius_trinitatis;noronha;conceicao;151;-3,839053;-32,416896;lucas_nunes;na;formaldehyde;october;2015;69,0;na;na;na;na;28,5;7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;noronha;conceicao;152;-3,839053;-32,416896;lucas_nunes;na;formaldehyde;october;2015;60,0;na;na;na;na;28,5;5;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;noronha;conceicao;157;-3,839053;-32,416896;lucas_nunes;na;formaldehyde;october;2015;60,0;na;na;na;na;28,5;5;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;noronha;conceicao;158;-3,839053;-32,416896;lucas_nunes;na;formaldehyde;october;2015;65,0;na;na;na;na;28,5;7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;noronha;conceicao;159;-3,839053;-32,416896;lucas_nunes;na;formaldehyde;october;2015;63,0;na;na;na;na;28,5;7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;noronha;conceicao;160;-3,839053;-32,416896;lucas_nunes;na;formaldehyde;october;2015;65,0;na;na;na;na;28,5;6;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
